feature,best_lag_steps,best_lag_label,pearson,abs_pearson,spearman,abs_spearman,samples
tratadores_e_intercambiadores_de_butano | TI-1964,96,480min (8.00h),-0.3500769661998708,0.3500769661998708,-0.0819587146351782,0.0819587146351782,117921
regenerador_de_acido | FIC-2336,132,660min (11.00h),-0.34733799749958083,0.34733799749958083,-0.2098824453088388,0.2098824453088388,118991
horno | TI-2587A,108,540min (9.00h),-0.3447968295446039,0.3447968295446039,-0.2052886885709109,0.2052886885709109,116914
tratadores_e_intercambiadores_de_butano | FIC-1982,51,255min (4.25h),-0.3423677011509068,0.3423677011509068,-0.20103984389520393,0.20103984389520393,111398
debutanizadora_y_tratamiento_de_alquilato | LIC-2107,480,2400min (40.00h),-0.3415290297453432,0.3415290297453432,-0.0466365849046889,0.0466365849046889,115653
regenerador_de_acido | TI-1179,144,720min (12.00h),-0.3396837030060969,0.3396837030060969,0.06152014656366339,0.06152014656366339,117135
tratadores_e_intercambiadores_de_propano | LIC-2394,96,480min (8.00h),-0.3387668692490378,0.3387668692490378,-0.14188277121601345,0.14188277121601345,114391
regenerador_de_acido | TI-1628,144,720min (12.00h),-0.3346771791637589,0.3346771791637589,-0.03897105641080185,0.03897105641080185,117870
lab_carga_D03_a_E28 | FI-1909_ACIDO_2,63,315min (5.25h),-0.33463535644181963,0.33463535644181963,-0.39857337090702943,0.39857337090702943,53554
reactor_de_alquilacion | TI-1358,72,360min (6.00h),-0.33325428690183784,0.33325428690183784,-0.15385469151584366,0.15385469151584366,118096
despropanizadora_y_despojo | PIC-2350,288,1440min (24.00h),-0.33307567040502123,0.33307567040502123,-0.2778786917237521,0.2778786917237521,116693
despropanizadora_y_despojo | FI-1165,120,600min (10.00h),-0.33023805523266536,0.33023805523266536,-0.002155419655709699,0.002155419655709699,106201
isostripper | TI-1109,120,600min (10.00h),-0.3275560354524983,0.3275560354524983,-0.21870413423762283,0.21870413423762283,118890
tratadores_e_intercambiadores_de_butano | PI-1984,96,480min (8.00h),-0.3264112111182958,0.3264112111182958,-0.20864894999617575,0.20864894999617575,119198
